time_elapsed_sec,P_x,P_y,B_x,B_y,R@1_x,R@1_y,R@2_x,R@2_y,R@3_x,R@3_y,1B_x,1B_y,2B_x,2B_y,3B_x,3B_y,SS_x,SS_y,LF_x,LF_y,CF_x,CF_y,RF_x,RF_y,C_x,C_y,BALL_x,BALL_y
0.0,-1.0465815337,62.2709968754,-2.2541642719,-2.9384709841,,,,,,,,,,,-72.29396308400649,91.01148815468284,-59.010552964461894,136.89963220401873,,,,,,,-2.2541642719,-6.5612191986,,
3.243,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1207582738,62.7943023833
3.443,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0868244643,8.453079167
3.68,,,,,,,,,,,55.7098071589,96.0833135434,,,,,,,,,,,,,,,,
3.98,,,-1.0465815337,-2.9384709841,,,,,,,,,,,,,,,,,,,,,,,,
4.03,,,,,,,,,,,,,,,,,,,,,,,139.03301609056658,260.0730714943413,,,,
4.44,,,,,,,,,,,,,,,,,,,,,-16.74515712954728,316.82946018694093,,,,,,
4.47,,,,,,,,,,,,,,,,,,,-129.0503517766061,243.16691316037546,,,,,,,,
4.88,,,,,,,,,,,,,,,,,-42.10439463049605,136.89963220401873,,,,,,,,,,
5.493,,,,,,,,,,,,,,,,,,,,,,,,,,,31.5179094655,156.9857559583
5.81,,,,,,,,,,,64.1628863259,81.5923206857,,,,,,,,,,,,,,,,
6.34,,,,,,,,,,,,,,,,,,,,,,,128.16477144730283,217.8076756594267,,,,
6.57,,,,,,,,,,,,,,,,,,,-102.48353153751694,233.50625125525212,,,,,,,,
7.25,,,,,,,,,,,,,,,,,,,,,,,,,3.7837494188,-0.5233055079,,
7.383,,,,,,,,,,,,,,,,,,,,,,,,,,,61.707477919,65.2094678596
7.503,,,,,,,,,,,,,30.3103267273,156.9857559583,,,,,,,,,,,,,,
8.8,,,,,,,,,,,,,,,,,,,,,-33.65131546351312,249.20482685107754,,,,,,
8.81,,,,,,,,,,,,,,,,,-48.142308321198136,126.03138756075496,,,,,,,,,,
8.85,3.7837494188,52.6103349703,,,,,,,,,,,,,,,,,-102.48353153751694,214.18492744500543,,,,,,,,
8.89,,,62.9553035877,65.8937450899,,,,,,,64.1628863259,61.0634141373,,,,,,,,,,,131.78751966172408,180.37261077707376,,,,
8.893,,,,,,,,,,,,,38.7634058943,153.3630077438,,,,,,,,,,,,,,
